query,action
"""show columns""","""show columns"""
"""show data""","""show data"""
"""describe the data""","""describe"""
"""filter the data""","""filter"""
"""plot""","""plot"""
"""count rows""","""count rows"""
"""maximum""","""maximum"""
"""minimum""","""minimum"""
"""average""","""average"""
"""sum""","""sum"""
"""count value""","""count value"""
"""Show the columns of the dataset""","""show columns"""
"""can you please provide the colums of the dataset""","""show columns"""
"""total columns in the dataset""","""show columns"""
"""what are the columns in the dataset""","""show columns"""
"""show me the columns of the datset""","""show columns"""
"""provide the columns""","""show columns"""
"""show top 5 data""","""show data"""
"""please provide the top 10 data of the dataset""","""show data"""
"""show data for ""","""show data"""
"""show data upto""","""show data"""
"""provide data upto""","""show data"""
"""can you please provide data for top 20 rows ""","""show data"""
"""provide data for rows upto""","""show data"""
"""show me the top 6 rows of the dataset""","""show data"""
"""describe the dataset""","""describe"""
"""can you please provide me the info of the dataset","""describe"""
"""info""","""describe"""
"""information of the dataset""","""describe"""
"""provide me with the information of the dataset""","""describe"""
"""please describe the dataset""","""describe"""
"""dataset information""","""describe"""
"""information""","""describe"""
"""filter by age 30""","""filter"""
"""filter by""","""filter"""
"""provide filtered dataset ,filter by gender male""","""filter"""
"""can you filter the dataset ,filter by income 30,000 ""","""filter"""
"""filter by prize 5000""","""filter"""
"""filter name by s"" ","""filter"""
"""filter column by 7""","""filter"""
"""filter out column by 50""","""filter"""
"""can you please plot""","""plot"""
"""chart""","""plot"""
"""plot graph""","""plot"""
"""provide me a chart""","""plot"""
"""plot a chart""","""plot"""
"""line chart""","""plot"""
"""count rows for me""","""count rows"""
"""how many entry are there""","""count rows"""
"""count entry""","""count rows"""
"""total number of rows""","""count rows"""
"""total number of entry""","""count rows"""
"""total entry""","""count rows"""
"""total rows""","""count rows"""
"""entries""","""count rows"""
"""rows""","""count rows"""
"""can you find the number of rows""","""count rows"""
"""can you find the nomber of entries""","""count rows"""
"""please provide the total number of columns","""count rows"""
"""give me the maximum value in salary""","""maximum"""
"""what is the maximum age""","""maximum"""
"""please provide the the maximum cost""","""maximum"""
"""can I get the maximum out of all the price""","""maximum"""
"""find the maximum cost""","""maximum"""
"""give me the row count""","""count rows"""
"""can you find the maximum of salary""","""maximum"""
"""give me the minimum value in salary""","""minimum"""
"""what is the minimum age""","""minimum"""
"""please provide the the minimum cost""","""minimum"""
"""can I get the minimum out of all the price""","""minimum"""
"""find the minimum cost""","""minimum"""
"""can you find the minimum of salary""","""minimum"""
"""give me the average value in salary""","""average"""
"""what is the average age""","""average"""
"""please provide the the average cost""","""average"""
"""can I get the average out of all the price""","""average"""
"""find the average cost""","""average"""
"""can you find the average of salary""","""average"""
"""give me the sum of salary""","""sum"""
"""what is the sum of age""","""sum"""
"""please provide the the sum of cost""","""sum"""
"""can I get the sum of all the price""","""sum"""
"""find the sum of cost""","""sum"""
"""can you find the sum of salary""","""sum"""
"""count the number of 50 in age""","""count value"""
"""what is the count of 89 in id""","""count value"""
"""please provide the number of sau in name""","""count value"""
"""can I get the number of red in colour""","""count value"""
"""can I get the count of diwali in festival""","""count value"""
"""can you find the total number of 90 in age""","""count value"""
"""can you find the count of 9,000 in cost""","""count value"""
"""please find the count of male in gender""","""count value"""
"""what is the number of female in gender""","""count value"""
"""count male in gender""","""count value"""
"""unique values in age""","""unique values"""
"""unique values of age""","""unique values"""
"""what are the unique values in name""","""unique values"""
"""give me the unique values of applicants""","""unique values"""
"""can you please provide the unique values of services""","""unique values"""
"""can I get the unique values of sports""","""unique values"""
"""find the unique values in model""","""unique values"""
"""what are the unique values of name""","""unique values"""
"""provide me unique values in name""","""unique values"""
"""find the missing values ""","""missing values"""
"""find the missing values in the dataset""","""missing values"""
"""what are the missing values in the dataset""","""missing values"""
"""how many missing values are there""","""missing values"""
"""can I get the number of missing values","""missing values"""
"""can you find the number of missing values""","""missing values"""
"""count the missing values""","""missing values"""
"""count of missing values""","""missing values"""
"""group by""","""group by"""
"""group by""","""group by"""
"""group by""","""group by"""
"""group by""","""group by"""
"""add column""","""add column"""
"""add column""","""add column"""
"""add column""","""add column"""
"""add column""","""add column"""
"""add column""","""add column"""
"""add column""","""add column"""
"""rename""","""rename column"""
"""rename""","""rename column"""
"""rename""","""rename column"""
"""rename""","""rename column"""
"""rename""","""rename column"""
"""drop column""","""drop column"""
"""delete column""","""drop column"""
"""drop column""","""drop column"""
"""delete column""","""drop column"""
"""heat map""","""heat map"""
"""show heat map""","""heat map"""
"""create heat map""","""heat map"""
"""create a heatmap to show the correlation between columns""","""heat map"""
"""plot a heatmap of column correlations""","""heat map"""
"""plot a heat map""","""heat map"""
"""create a heat map""","""heat map"""
"""can I get a heat map for this dataset""","""heat map"""
"""provide the heatmap for this dataset""","""heat map"""
"""can you make a heat map ""","""heat map"""
"""sample data""","""sample data"""
"""sample dataset""","""sample data"""
"""random sample""","""sample data"""
"""please provide a sample of ""","""sample data"""
"""sample of ""","""sample data"""
"""concat data with another file""","""concat data"""
"""concat data""","""concat data"""
"""can I concat data with another file""","""concat data"""
"""concat this data with another file""","""concat data"""
"""please concat this data with another file""","""concat data"""
"""concat this with another""","""concat data"""
"""can you concat this data with another file""","""concat data"""
"""join data""","""join data"""
"""join data with another file""","""join data"""
"""join dataset with another file""","""join data"""
"""join dataset with another dataset","""join data"""
"""please join dataset""","""join data"""
"""can you join this datasest with another""","""join data"""
"""can I get joined dataset""","""join data"""
"""rolling window""","""rolling window"""
"""apply rolling window""","""rolling window"""
"""use rolling window""","""rolling window"""
"""apply function""","""apply function"""
"""use apply function""","""apply function"""
"""apply custom function""","""apply function"""
"""use custom function""","""apply function"""
"""lamda function""","""apply function"""
"""use lamda function""","""apply function"""
